################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         21   1.9708078647390743E-11   1.2981886280791970E-03   5.1613521498409128E-05   5.5332443694007260E-05
         1         22   0.0000000000000000E+00   8.7089515677295400E-03   3.5303846941061782E-05   1.3061397366287785E-04
         1         23   0.0000000000000000E+00   3.0185484192814900E-03   4.9385892351830092E-05   1.1980951959686742E-04
         1         24   0.0000000000000000E+00   4.1937815661062207E-03   1.7662135913116653E-04   2.2693440323373376E-04
         1         25   0.0000000000000000E+00   1.6394150789581479E-03   1.4751289942579243E-05   4.7356822561891436E-05
         1         26   0.0000000000000000E+00   2.0032359307800953E-03   1.0174901976726427E-04   1.2233376453032113E-04
         1         27   6.2181169583550275E-12   2.5568105100384803E-03   1.0858138459803633E-04   1.2704199568552529E-04
         1         28   0.0000000000000000E+00   6.7131815195292283E-05   1.2305227960265080E-07   7.3929048015119913E-07
         1         29   0.0000000000000000E+00   4.6152964771164414E-05   1.6274203411040318E-07   6.2506972457839648E-07
         1         30   0.0000000000000000E+00   5.7289255022231407E-05   5.1636522953337751E-07   1.2126028708354545E-06
         1         31   0.0000000000000000E+00   2.1286475864400113E-05   4.8906310163796367E-08   2.4378458315730850E-07
         1         32   0.0000000000000000E+00   3.0767899347292356E-05   3.4245086132628440E-07   6.9191073434269256E-07
         1         33   6.3739810948389723E-16   5.5029560356373503E-05   7.7231295333367908E-07   9.4925635134200153E-07
         1         34   0.0000000000000000E+00   2.2342563279931348E-03   1.0013712196537749E-05   3.6513420110721860E-05
         1         35   0.0000000000000000E+00   8.1804115454673872E-04   1.2908340665080877E-05   3.0677748846158739E-05
         1         36   0.0000000000000000E+00   1.0734917395743278E-03   4.9228709079346689E-05   5.8014932775807742E-05
         1         37   0.0000000000000000E+00   3.6821847346345037E-04   3.5254715446067162E-06   1.1024276852189485E-05
         1         38   0.0000000000000000E+00   4.6987074265421080E-04   2.5311936610910949E-05   2.7758397350190004E-05
         1         39   2.2241571224824275E-13   5.6191409219075031E-04   2.1558313178633027E-05   2.8212636371309124E-05
         1         40   0.0000000000000000E+00   7.0456147965204021E-03   1.1786573496562543E-04   3.2415738557335118E-04
         1         41   0.0000000000000000E+00   6.6329923203756018E-03   2.1786056906952388E-04   3.9360500858138099E-04
         1         42   0.0000000000000000E+00   9.4987896938165360E-03   7.6311201621485144E-04   7.7368021206673104E-04
         1         43   0.0000000000000000E+00   5.0914789904189101E-03   8.8704210247207187E-05   2.1105556158749231E-04
         1         44   0.0000000000000000E+00   6.2976692935957090E-03   6.2428493265164332E-04   5.6847260953480456E-04
         1         45   4.9428491121779092E-09   8.7358607515586016E-03   9.2408211001738724E-04   6.2271744361893603E-04
         1         46   0.0000000000000000E+00   1.8026631876125326E-02   3.3961064925989098E-04   8.7123802652308005E-04
         1         47   0.0000000000000000E+00   1.7573512225162496E-02   6.0499859817769632E-04   1.0260322325421911E-03
         1         48   0.0000000000000000E+00   2.1021077227301760E-02   2.3058017056903184E-03   1.9712828636265999E-03
         1         49   0.0000000000000000E+00   9.2027199895088514E-03   2.3411425470527296E-04   5.1918022744994457E-04
         1         50   0.0000000000000000E+00   1.3371897397184352E-02   1.7189197901362051E-03   1.3199215448221171E-03
         1         51   2.2426946439457729E-09   1.9593531545386633E-02   1.8624462045240342E-03   1.4090847233753675E-03
         1         52   0.0000000000000000E+00   4.7760905778952413E-04   1.8851225474661425E-06   8.5079977294302362E-06
         1         53   0.0000000000000000E+00   2.9014731238547186E-04   2.9230248095410426E-06   8.4486311122873213E-06
         1         54   0.0000000000000000E+00   3.4972663580933592E-04   9.0813340386193952E-06   1.6367693404266491E-05
         1         55   0.0000000000000000E+00   2.3258537730505297E-04   1.0465506047479367E-06   3.9454919420107314E-06
         1         56   0.0000000000000000E+00   2.9315848833847525E-04   7.2013903015629886E-06   1.1128523855161665E-05
         1         57   3.2749186106232174E-13   4.4119167219029557E-04   1.7740174904375576E-05   1.5792528779948285E-05
         1         58   0.0000000000000000E+00   5.3592879905801291E-03   1.0153872129120214E-04   2.5531596259262019E-04
         1         59   0.0000000000000000E+00   4.1034754070453537E-03   1.6834683000686686E-04   2.7839499732702099E-04
         1         60   0.0000000000000000E+00   5.4150164329937137E-03   7.0159622790866012E-04   5.3387262320154756E-04
         1         61   0.0000000000000000E+00   2.0963477544551261E-03   5.9929450068615990E-05   1.2833269625219952E-04
         1         62   0.0000000000000000E+00   3.1696307321931144E-03   4.7000159126191676E-04   3.1700842399733103E-04
