################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.5404379061395709E+01 a       174     0     9     1    14
 -2.0075195829729747E+01 a       175     0     9     1    15
 -1.9002826743881851E+01 a       176     0     9     1    16
  2.6682677418447707E+00 a       177     0     9     1    17
 -2.9188454951695370E+01 a       178     0     9     1    18
  1.8685840576769767E+01 a       179     0     9     1    19
 -2.0282143803071079E+01 a       180     0     9     1    20
  5.1945905559867693E+00 a       181     0    10     1     1
  7.3312176865854788E+00 a       182     0    10     1     2
 -3.5542235500791719E+01 a       183     0    10     1     3
  2.5569788492608247E+01 a       184     0    10     1     4
 -3.0811247775630260E+01 a       185     0    10     1     5
 -2.5404831253406613E+01 a       186     0    10     1     6
  5.5749268231508431E+00 a       187     0    10     1     7
  1.4937800626323261E+00 a       188     0    10     1     8
 -3.6135811535583312E-01 a       189     0    10     1     9
  2.0691861241851605E+01 a       190     0    10     1    10
 -4.3480777348413531E+00 a       191     0    10     1    11
  1.0133925258388152E+00 a       192     0    10     1    12
 -1.3342222947081884E+01 a       193     0    10     1    13
 -1.3888852459007254E+01 a       194     0    10     1    14
 -6.1409421224187106E+00 a       195     0    10     1    15
  2.9521515175956481E-01 a       196     0    10     1    16
 -1.3425711314630423E+01 a       197     0    10     1    17
  5.3298357447679230E+00 a       198     0    10     1    18
  1.8813548379435431E+01 a       199     0    10     1    19
  6.5233083742730527E+00 a       200     0    10     1    20
  1.6508898095036017E+01 a       201     0    11     1     1
 -7.7837492121698180E+00 a       202     0    11     1     2
 -2.7561041340142250E+01 a       203     0    11     1     3
  1.1307871296953328E+01 a       204     0    11     1     4
 -3.4672511899285666E+01 a       205     0    11     1     5
 -1.7224733899268990E+01 a       206     0    11     1     6
  5.0205313861991367E+00 a       207     0    11     1     7
  1.3483110846139157E+00 a       208     0    11     1     8
  9.5858577859123262E+00 a       209     0    11     1     9
  1.4837716254504332E+00 a       210     0    11     1    10
  2.4105829049843275E-01 a       211     0    11     1    11
  3.1792928606899560E+00 a       212     0    11     1    12
 -1.1567430448727407E+01 a       213     0    11     1    13
 -8.6300614385788581E+00 a       214     0    11     1    14
 -1.5947429798944457E+00 a       215     0    11     1    15
  4.6345034479622449E-01 a       216     0    11     1    16
  2.2536376694051732E+01 a       217     0    11     1    17
 -2.3069008941753374E+01 a       218     0    11     1    18
 -6.6834711032161103E+00 a       219     0    11     1    19
  4.1117229950722702E+00 a       220     0    11     1    20
 -9.8317982027289812E+00 a       221     0    12     1     1
  1.1172489954307736E+01 a       222     0    12     1     2
 -3.6849938686926045E+01 a       223     0    12     1     3
  1.2870337865498495E+01 a       224     0    12     1     4
 -1.6611174403920113E+01 a       225     0    12     1     5
  1.1491313092249030E+01 a       226     0    12     1     6
  9.7590992244885406E+00 a       227     0    12     1     7
 -6.6304103056758545E-01 a       228     0    12     1     8
  2.0814562286809060E+00 a       229     0    12     1     9
  1.2148964659030366E+01 a       230     0    12     1    10
 -6.6653181334589826E+00 a       231     0    12     1    11
 -2.9355885697004589E+00 a       232     0    12     1    12
 -1.3102442803899962E+01 a       233     0    12     1    13
 -1.8899855097966050E+01 a       234     0    12     1    14
  1.2389910727856069E+01 a       235     0    12     1    15
  1.7169000682818574E+01 a       236     0    12     1    16
  9.0477210744354171E+00 a       237     0    12     1    17
  1.0348952970195034E+01 a       238     0    12     1    18
 -1.7768846922066583E+01 a       239     0    12     1    19
  1.7240426180214865E+01 a       240     0    12     1    20
  9.4662140892843349E-01 a       241     0    13     1     1
 -9.9009826535766248E+00 a       242     0    13     1     2
  8.8037470511930351E+00 a       243     0    13     1     3
 -1.0734064458369499E+01 a       244     0    13     1     4
  5.1821184521600179E+00 a       245     0    13     1     5
  7.3568240188637564E+00 a       246     0    13     1     6
 -1.7961471094800365E+00 a       247     0    13     1     7
 -2.4869154771885305E-01 a       248     0    13     1     8
  6.5271594413218619E+00 a       249     0    13     1     9
 -9.9481283069984432E+00 a       250     0    13     1    10
  1.8794928106752415E+00 a       251     0    13     1    11
  1.0452691836350461E+00 a       252     0    13     1    12
  3.3869548692283877E+00 a       253     0    13     1    13
  2.5661998999167017E+00 a       254     0    13     1    14
  1.9909415148061216E+00 a       255     0    13     1    15
 -2.1901602732946861E+00 a       256     0    13     1    16
  5.9308800004231044E+00 a       257     0    13     1    17
  2.1586710751914437E+00 a       258     0    13     1    18
 -1.6665068927877801E+01 a       259     0    13     1    19
 -3.9280706039078841E+00 a       260     0    13     1    20
 -1.1189868440080835E+01 a       261     0    14     1     1
 -9.3531305856969815E-01 a       262     0    14     1     2
  8.8270546416133175E+00 a       263     0    14     1     3
 -2.1486563878963136E+00 a       264     0    14     1     4
  5.1217052462487240E+00 a       265     0    14     1     5
  3.7748620941452957E+00 a       266     0    14     1     6
 -1.5034798650012917E+00 a       267     0    14     1     7
 -2.2032257976637312E-01 a       268     0    14     1     8
 -3.9660754804616700E+00 a       269     0    14     1     9
 -2.1417190749673529E+00 a       270     0    14     1    10
  1.4140884290488803E-01 a       271     0    14     1    11
 -1.4235500927193595E-01 a       272     0    14     1    12
  2.9314448302002551E+00 a       273     0    14     1    13
  3.2425696152662703E-01 a       274     0    14     1    14
 -1.3713117630390068E+00 a       275     0    14     1    15
 -1.4772949313843382E+00 a       276     0    14     1    16
 -1.1738701631606913E+01 a       277     0    14     1    17
  8.3869743436188813E+00 a       278     0    14     1    18
 -1.1733980254081336E+01 a       279     0    14     1    19
 -3.3631661296938735E+00 a       280     0    14     1    20
  1.4927808134230430E+01 a       281     0    15     1     1
 -1.3541763244553314E+01 a       282     0    15     1     2
  1.0166195154350183E+01 a       283     0    15     1     3
 -7.9665833703882107E+00 a       284     0    15     1     4
 -4.8897659960626316E-01 a       285     0    15     1     5
 -2.6943293597650708E+00 a       286     0    15     1     6
 -3.0214028747903261E+00 a       287     0    15     1     7
  3.4168486968999340E-01 a       288     0    15     1     8
  2.8233896384382615E+00 a       289     0    15     1     9
 -4.9140470442536621E+00 a       290     0    15     1    10
  2.2320252043872948E-01 a       291     0    15     1    11
  2.1945240596592117E+00 a       292     0    15     1    12
  3.0945777792872082E+00 a       293     0    15     1    13
  4.4809899118266223E+00 a       294     0    15     1    14
 -6.7105727539262068E+00 a       295     0    15     1    15
 -5.8845118734123858E+00 a       296     0    15     1    16
 -4.0726207982490674E+00 a       297     0    15     1    17
 -4.1434442480592946E+00 a       298     0    15     1    18
 -1.7792147206236127E+01 a       299     0    15     1    19
 -7.4027112490828282E+00 a       300     0    15     1    20
 -8.3590388715576711E-02 a       301     0    16     1     1
 -9.2791570989125933E+00 a       302     0    16     1     2
 -1.0181570086021082E+01 a       303     0    16     1     3
  7.4179685829250817E+00 a       304     0    16     1     4
  1.3241105283774756E+01 a       305     0    16     1     5
  8.3499925738386516E+00 a       306     0    16     1     6
 -4.5325305628106671E-01 a       307     0    16     1     7
  4.8952004475138988E+00 a       308     0    16     1     8
  2.0453648614414625E+01 a       309     0    16     1     9
 -1.0074081852497987E+00 a       310     0    16     1    10
 -6.4787215274374894E+00 a       311     0    16     1    11
  2.4546611915015677E+00 a       312     0    16     1    12
  9.2133622494426461E+00 a       313     0    16     1    13
  9.4006124848489598E+00 a       314     0    16     1    14
 -7.7780959030209318E-01 a       315     0    16     1    15
 -6.1276594113680520E+00 a       316     0    16     1    16
  8.3666760886312481E+00 a       317     0    16     1    17
  2.9688225994311566E+00 a       318     0    16     1    18
 -1.6265724990815460E+01 a       319     0    16     1    19
 -1.4325865348461598E+01 a       320     0    16     1    20
 -1.6861875276775827E+01 a       321     0    17     1     1
 -1.8699939835689527E+01 a       322     0    17     1     2
  1.8178522337242820E+00 a       323     0    17     1     3
 -2.4714513157351092E+00 a       324     0    17     1     4
 -2.8122202352933531E+01 a       325     0    17     1     5
  6.1318072926572471E+00 a       326     0    17     1     6
  4.5585920258921213E+00 a       327     0    17     1     7
 -1.2408369566883143E-01 a       328     0    17     1     8
  1.1870268198193566E+01 a       329     0    17     1     9
  4.0005935366799621E+00 a       330     0    17     1    10
 -4.6325349037722203E+00 a       331     0    17     1    11
  1.1127199196719537E+00 a       332     0    17     1    12
 -2.0421527489528741E+00 a       333     0    17     1    13
  1.4767509374715512E+01 a       334     0    17     1    14
  2.0368373713973334E+01 a       335     0    17     1    15
  1.5299947905360035E+01 a       336     0    17     1    16
 -1.1032982949785428E+01 a       337     0    17     1    17
 -7.7494504817736876E-01 a       338     0    17     1    18
  5.8727296717380657E+00 a       339     0    17     1    19
  1.2029869384462092E+01 a       340     0    17     1    20
 -6.3445709265827546E+00 a       341     0    18     1     1
  1.1013478638091678E+01 a       342     0    18     1     2
 -1.0369208817776581E+01 a       343     0    18     1     3
  3.9749288185413739E+01 a       344     0    18     1     4
 -1.2094699860823879E+00 a       345     0    18     1     5
  7.6995545121695415E+00 a       346     0    18     1     6
 -8.9322716502212540E-01 a       347     0    18     1     7
 -1.5510021246146064E+00 a       348     0    18     1     8
  4.3536140488399875E+00 a       349     0    18     1     9
  7.3537987432703193E+00 a       350     0    18     1    10
  1.1323535091358327E+01 a       351     0    18     1    11
  5.1681993047927879E+00 a       352     0    18     1    12
 -7.3089399986435419E-02 a       353     0    18     1    13
 -7.4968678962971103E-02 a       354     0    18     1    14
  2.2787179913090991E+01 a       355     0    18     1    15
  1.5467463413271243E+01 a       356     0    18     1    16
 -9.9554623330447800E+00 a       357     0    18     1    17
  3.4885289844552387E+00 a       358     0    18     1    18
  1.2282117789331634E+01 a       359     0    18     1    19
  1.3171688298140877E+01 a       360     0    18     1    20
  1.8533094363605425E+01 a       361     0    19     1     1
 -9.7653785839156733E+00 a       362     0    19     1     2
  2.4023690502755017E+00 a       363     0    19     1     3
  2.8780262820306914E+00 a       364     0    19     1     4
 -3.4510953438920630E+01 a       365     0    19     1     5
 -8.9847971384225165E+00 a       366     0    19     1     6
  5.7616559451820371E-02 a       367     0    19     1     7
 -2.8364605640933669E+00 a       368     0    19     1     8
 -7.0237752552289301E+00 a       369     0    19     1     9
  6.2566587651701884E+00 a       370     0    19     1    10
  2.1628142668579020E+01 a       371     0    19     1    11
  1.0179023485768425E+01 a       372     0    19     1    12
  5.3428812647469415E-01 a       373     0    19     1    13
  1.8770164072692079E+01 a       374     0    19     1    14
  6.6860080389572731E+00 a       375     0    19     1    15
  2.1961542202913870E-01 a       376     0    19     1    16
 -1.7296866737076261E+01 a       377     0    19     1    17
  8.2969460240801940E+00 a       378     0    19     1    18
  1.6475379848368767E+01 a       379     0    19     1    19
  1.1408421011916630E+01 a       380     0    19     1    20
 -1.0700184737908168E+01 a       381     0    20     1     1
 -2.1363327811449175E+00 a       382     0    20     1     2
  1.0136335233343943E+00 a       383     0    20     1     3
  2.8459654603552561E+01 a       384     0    20     1     4
 -1.1680382263071582E+01 a       385     0    20     1     5
  2.6846030322960077E+00 a       386     0    20     1     6
  3.4410416682173328E+00 a       387     0    20     1     7
  6.3402024568340849E+00 a       388     0    20     1     8
 -2.7043458264517013E+00 a       389     0    20     1     9
  7.4181695533670036E+00 a       390     0    20     1    10
  2.9506929068108176E+00 a       391     0    20     1    11
 -4.1102523078678619E+00 a       392     0    20     1    12
  2.0790690136018797E+00 a       393     0    20     1    13
 -1.0361839030771401E+01 a       394     0    20     1    14
  2.4669309738958018E+00 a       395     0    20     1    15
  9.2193178777617142E+00 a       396     0    20     1    16
 -8.3479945562043838E+00 a       397     0    20     1    17
